

KPI Analysis Result
Save Time :25-03-2024 10:28:33
User Name :mdaoud

Date,eNodeB Name,eNodeB Function Name,Cell Name,LocalCell Id,Cell FDD TDD Indication,Integrity,FT_4G/LTE AVERAGE REPORTED CQI,AVG_TA_2022(m),FT_4G/LTE CONGESTED CELLS RATE,FT_4G/LTE DL TRAFFIC VOLUME (GBYTES),FT_AVE 4G/LTE DL USER THRPUT without Last TTI(ALL) (KBPS)(kbit/s),FT_UL.Interference,FT_AVERAGE NB OF USERS (UEs RRC CONNECTED),FT_PHYSICAL RESOURCE BLOCKS LOAD DL(%)
24-03-2024 00:00,TUN_0056_LM,TUN_0056_LM,TUN_0056_C01_309_h3,6,CELL_FDD,100%,9.9311,315.9472,0.6209,2.3476,27630.2413,-114,10.0325,15.187
24-03-2024 00:00,MAN_0032_LM,MAN_0032_LM,MAN_0032_C01_110_f3,3,CELL_FDD,100%,6.2862,1195.3775,1.7565,1.9218,2969.9543,-113,9.5867,70.946
24-03-2024 00:00,MAN_0032_LM,MAN_0032_LM,MAN_0032_C01_110_h3,6,CELL_FDD,100%,8.05,1182.7769,2.4041,7.4418,8436.2414,-114,30.5675,78.5609
24-03-2024 00:00,TUN_0101_LM,TUN_0101_LM,TUN_0101_C01_309_h3,6,CELL_FDD,100%,6.648,455.7302,2.5058,3.9528,3919.0099,-115,13.1772,78.3704
24-03-2024 00:00,TUN_0101_LM,TUN_0101_LM,TUN_0101_C01_309_h1,4,CELL_FDD,100%,9.537,318.8813,2.0911,7.6383,12607.0002,-115,28.8164,60.4474
24-03-2024 00:00,BAR_0031_LM,BAR_0031_LM,BAR_0031_C01_309_h1,4,CELL_FDD,100%,9.6686,405.244,3.991,8.5842,8079.6479,-113,32.4482,79.4875
24-03-2024 00:00,TUN_0171_LM,TUN_0171_LM,TUN_0171_C09_110_h2,5,CELL_FDD,100%,7.7794,442.9298,3.1002,6.5801,5877.6725,-114,26.1748,81.6227
24-03-2024 00:00,TUN_0146_LM,TUN_0146_LM,TUN_0146_C06_110_h2,5,CELL_FDD,100%,8.3409,913.0862,1.9337,6.824,10855.8642,-113,27.6944,65.3877
24-03-2024 00:00,TUN_0148_LM,TUN_0148_LM,TUN_0148_C02_110_h2,5,CELL_FDD,100%,8.1882,399.9864,3.0666,7.3386,6306.1559,-114,31.4675,85.084
24-03-2024 00:00,TUN_0148_LM,TUN_0148_LM,TUN_0148_C02_110_h1,4,CELL_FDD,100%,9.518,384.2281,4.1229,12.9125,9919.8357,-113,49.7586,83.9588
