Site Name,Device No,Device Name,Actual Tilt,Sector,Band
ARI_0031_LM,0,B21&18_Div_sect1,90,ARI_0031_sect1,"['L2100', 'L1800']"
ARI_0031_LM,1,B09&08_2T2R_sect1,-1,ARI_0031_sect1,L800
ARI_0031_LM,2,B21&18_Main_sect1,90,ARI_0031_sect1,"['L2100', 'L1800']"
ARI_0031_LM,3,B21&18_Div_sect2,70,ARI_0031_sect2,"['L2100', 'L1800']"
ARI_0031_LM,4,B09&08_2T2R_sect2,-1,ARI_0031_sect2,L800
ARI_0031_LM,5,B21&18_Main_sect2,-1,ARI_0031_sect2,"['L2100', 'L1800']"
ARI_0031_LM,6,B21&18_Div_sect3,60,ARI_0031_sect3,"['L2100', 'L1800']"
ARI_0031_LM,7,B09&08_2T2R_sect3,70,ARI_0031_sect3,L800
ARI_0031_LM,8,B21&18_Main_sect3,60,ARI_0031_sect3,"['L2100', 'L1800']"
ARI_0031_LM,9,B21&18_Div_sect4,70,ARI_0031_sect4,"['L2100', 'L1800']"
ARI_0031_LM,10,B09&08_2T2R_sect4,100,ARI_0031_sect4,L800
ARI_0031_LM,11,B21&18_Main_sect4,70,ARI_0031_sect4,"['L2100', 'L1800']"
ARI_0003_LM,0,B21&18_Div_sect1,40,ARI_0003_sect1,"['L2100', 'L1800']"
ARI_0003_LM,1,B09&08_2T2R_sect1,100,ARI_0003_sect1,L800
ARI_0003_LM,2,B21&18_Main_sect1,40,ARI_0003_sect1,"['L2100', 'L1800']"
ARI_0003_LM,3,B21&18_Div_sect2,40,ARI_0003_sect2,"['L2100', 'L1800']"
ARI_0003_LM,4,B09&08_2T2R_sect2,50,ARI_0003_sect2,L800
ARI_0003_LM,5,B21&18_Main_sect2,40,ARI_0003_sect2,"['L2100', 'L1800']"
ARI_0003_LM,6,B21&18_Div_sect3,50,ARI_0003_sect3,"['L2100', 'L1800']"
ARI_0003_LM,7,B09&08_2T2R_sect3,50,ARI_0003_sect3,L800
ARI_0003_LM,9,B21&18_Div_sect4,50,ARI_0003_sect4,"['L2100', 'L1800']"
ARI_0003_LM,10,B09&08_2T2R_sect4,-1,ARI_0003_sect4,L800
ARI_0003_LM,11,B21&18_Main_sect4,50,ARI_0003_sect4,"['L2100', 'L1800']"
ARI_0002_LM,0,B21&18_Div_sect1,40,ARI_0002_sect1,"['L2100', 'L1800']"
ARI_0002_LM,1,B09&08_2T2R_sect1,70,ARI_0002_sect1,L800
ARI_0002_LM,2,B21&18_Main_sect1,40,ARI_0002_sect1,"['L2100', 'L1800']"
ARI_0002_LM,3,B21&18_Div_sect2,40,ARI_0002_sect2,"['L2100', 'L1800']"
ARI_0002_LM,4,B09&08_2T2R_sect2,60,ARI_0002_sect2,L800
ARI_0002_LM,5,B21&18_Main_sect2,40,ARI_0002_sect2,"['L2100', 'L1800']"
ARI_0002_LM,6,B21&18_Div_sect3,40,ARI_0002_sect3,"['L2100', 'L1800']"
ARI_0002_LM,7,B09&08_2T2R_sect3,60,ARI_0002_sect3,L800
ARI_0002_LM,8,B21&18_Main_sect3,40,ARI_0002_sect3,"['L2100', 'L1800']"
ARI_0023_LM,0,B21&18_Div_sect1,60,ARI_0023_sect1,"['L2100', 'L1800']"
ARI_0023_LM,1,B09&08_2T2R_sect1,-1,ARI_0023_sect1,L800
ARI_0023_LM,2,B21&18_Div_sect2,64,ARI_0023_sect2,"['L2100', 'L1800']"
ARI_0023_LM,3,B09&08_2T2R_sect2,90,ARI_0023_sect2,L800
ARI_0023_LM,4,B21&18_Div_sect3,50,ARI_0023_sect3,"['L2100', 'L1800']"
ARI_0023_LM,5,B09&08_2T2R_sect3,60,ARI_0023_sect3,L800
