Site Name,Local cell ID,Reference signal power,Sector,Band
ARI_0017_LM,1,182,ARI_0017_sect1,L800
ARI_0017_LM,2,182,ARI_0017_sect2,L800
ARI_0017_LM,3,182,ARI_0017_sect3,L800
ARI_0017_LM,4,170,ARI_0017_sect1,L1800
ARI_0017_LM,5,170,ARI_0017_sect2,L1800
ARI_0017_LM,6,170,ARI_0017_sect3,L1800
ARI_0017_LM,7,182,ARI_0017_sect1,L2100
ARI_0017_LM,8,182,ARI_0017_sect2,L2100
ARI_0017_LM,9,182,ARI_0017_sect3,L2100
ARI_0017_LM,104,152,ARI_0017_sect1,L1800²
ARI_0017_LM,105,152,ARI_0017_sect2,L1800²
ARI_0017_LM,106,152,ARI_0017_sect3,L1800²
ARI_0034_LM,1,182,ARI_0034_sect1,L800
ARI_0034_LM,2,182,ARI_0034_sect2,L800
ARI_0034_LM,3,182,ARI_0034_sect3,L800
ARI_0034_LM,4,170,ARI_0034_sect1,L1800
ARI_0034_LM,5,170,ARI_0034_sect2,L1800
ARI_0034_LM,6,170,ARI_0034_sect3,L1800
ARI_0034_LM,7,182,ARI_0034_sect1,L2100
ARI_0034_LM,8,182,ARI_0034_sect2,L2100
ARI_0034_LM,9,182,ARI_0034_sect3,L2100
ARI_0034_LM,24,170,,
ARI_0034_LM,27,182,,
ARI_0034_LM,104,170,ARI_0034_sect1,L1800²
ARI_0034_LM,105,152,ARI_0034_sect2,L1800²
ARI_0034_LM,106,152,ARI_0034_sect3,L1800²
ARI_0034_LM,124,152,,
ARI_0007_LM,1,182,ARI_0007_sect1,L800
ARI_0007_LM,2,182,ARI_0007_sect2,L800
ARI_0007_LM,3,182,ARI_0007_sect3,L800
ARI_0007_LM,4,170,ARI_0007_sect1,L1800
ARI_0007_LM,5,170,ARI_0007_sect2,L1800
ARI_0007_LM,6,170,ARI_0007_sect3,L1800
ARI_0007_LM,7,182,ARI_0007_sect1,L2100
ARI_0007_LM,8,182,ARI_0007_sect2,L2100
ARI_0007_LM,9,182,ARI_0007_sect3,L2100
ARI_0007_LM,104,152,ARI_0007_sect1,L1800²
ARI_0007_LM,105,152,ARI_0007_sect2,L1800²
ARI_0007_LM,106,152,ARI_0007_sect3,L1800²
ARI_0010_LM,1,182,ARI_0010_sect1,L800
ARI_0010_LM,2,182,ARI_0010_sect2,L800
ARI_0010_LM,3,182,ARI_0010_sect3,L800
ARI_0010_LM,4,170,ARI_0010_sect1,L1800
ARI_0010_LM,5,170,ARI_0010_sect2,L1800
ARI_0010_LM,6,170,ARI_0010_sect3,L1800
ARI_0010_LM,7,182,ARI_0010_sect1,L2100
ARI_0010_LM,8,182,ARI_0010_sect2,L2100
ARI_0010_LM,9,182,ARI_0010_sect3,L2100
ARI_0010_LM,104,152,ARI_0010_sect1,L1800²
ARI_0010_LM,105,152,ARI_0010_sect2,L1800²
ARI_0010_LM,106,152,ARI_0010_sect3,L1800²
ARI_0005_LM,1,182,ARI_0005_sect1,L800
ARI_0005_LM,2,182,ARI_0005_sect2,L800
ARI_0005_LM,3,182,ARI_0005_sect3,L800
ARI_0005_LM,4,170,ARI_0005_sect1,L1800
ARI_0005_LM,5,170,ARI_0005_sect2,L1800
ARI_0005_LM,6,170,ARI_0005_sect3,L1800
ARI_0005_LM,7,182,ARI_0005_sect1,L2100
ARI_0005_LM,8,182,ARI_0005_sect2,L2100
ARI_0005_LM,9,182,ARI_0005_sect3,L2100
ARI_0005_LM,14,170,ARI_0005_sect4,L1800
ARI_0005_LM,17,182,ARI_0005_sect4,L2100
ARI_0005_LM,104,152,ARI_0005_sect1,L1800²
ARI_0005_LM,105,152,ARI_0005_sect2,L1800²
ARI_0005_LM,106,152,ARI_0005_sect3,L1800²
ARI_0005_LM,114,152,ARI_0005_sect4,L1800²
ARI_0008_LM,1,182,ARI_0008_sect1,L800
ARI_0008_LM,2,182,ARI_0008_sect2,L800
ARI_0008_LM,3,182,ARI_0008_sect3,L800
ARI_0008_LM,4,170,ARI_0008_sect1,L1800
ARI_0008_LM,5,170,ARI_0008_sect2,L1800
ARI_0008_LM,6,170,ARI_0008_sect3,L1800
ARI_0008_LM,7,182,ARI_0008_sect1,L2100
ARI_0008_LM,8,182,ARI_0008_sect2,L2100
ARI_0008_LM,9,182,ARI_0008_sect3,L2100
ARI_0008_LM,11,182,ARI_0008_sect4,L800
ARI_0008_LM,14,170,ARI_0008_sect4,L1800
ARI_0008_LM,17,182,ARI_0008_sect4,L2100
ARI_0008_LM,104,152,ARI_0008_sect1,L1800²
ARI_0008_LM,105,152,ARI_0008_sect2,L1800²
ARI_0008_LM,106,152,ARI_0008_sect3,L1800²
ARI_0008_LM,114,152,ARI_0008_sect4,L1800²
ARI_0029_LM,1,182,ARI_0029_sect1,L800
ARI_0029_LM,2,182,ARI_0029_sect2,L800
ARI_0029_LM,3,182,ARI_0029_sect3,L800
ARI_0029_LM,4,170,ARI_0029_sect1,L1800
ARI_0029_LM,5,170,ARI_0029_sect2,L1800
ARI_0029_LM,6,170,ARI_0029_sect3,L1800
ARI_0029_LM,7,182,ARI_0029_sect1,L2100
ARI_0029_LM,8,182,ARI_0029_sect2,L2100
ARI_0029_LM,9,182,ARI_0029_sect3,L2100
ARI_0029_LM,24,170,,
ARI_0029_LM,27,182,,
ARI_0029_LM,104,152,ARI_0029_sect1,L1800²
ARI_0029_LM,105,152,ARI_0029_sect2,L1800²
ARI_0029_LM,106,152,ARI_0029_sect3,L1800²
ARI_0029_LM,124,152,,
ARI_0015_LM,1,182,ARI_0015_sect1,L800
ARI_0015_LM,2,182,ARI_0015_sect2,L800
ARI_0015_LM,3,182,ARI_0015_sect3,L800
ARI_0015_LM,4,170,ARI_0015_sect1,L1800
ARI_0015_LM,5,170,ARI_0015_sect2,L1800
ARI_0015_LM,6,170,ARI_0015_sect3,L1800
ARI_0015_LM,7,182,ARI_0015_sect1,L2100
ARI_0015_LM,8,182,ARI_0015_sect2,L2100
ARI_0015_LM,9,182,ARI_0015_sect3,L2100
ARI_0015_LM,104,152,ARI_0015_sect1,L1800²
ARI_0015_LM,105,152,ARI_0015_sect2,L1800²
ARI_0015_LM,106,152,ARI_0015_sect3,L1800²
ARI_0009_LM,1,182,ARI_0009_sect1,L800
ARI_0009_LM,2,182,ARI_0009_sect2,L800
ARI_0009_LM,3,182,ARI_0009_sect3,L800
ARI_0009_LM,4,170,ARI_0009_sect1,L1800
ARI_0009_LM,5,170,ARI_0009_sect2,L1800
ARI_0009_LM,6,169,ARI_0009_sect3,L1800
ARI_0009_LM,7,182,ARI_0009_sect1,L2100
ARI_0009_LM,8,182,ARI_0009_sect2,L2100
ARI_0009_LM,9,182,ARI_0009_sect3,L2100
ARI_0009_LM,26,170,,
ARI_0009_LM,29,182,,
ARI_0009_LM,104,152,ARI_0009_sect1,L1800²
ARI_0009_LM,105,152,ARI_0009_sect2,L1800²
ARI_0009_LM,106,152,ARI_0009_sect3,L1800²
ARI_0009_LM,126,152,,
ARI_0018_LM,1,182,ARI_0018_sect1,L800
ARI_0018_LM,2,182,ARI_0018_sect2,L800
ARI_0018_LM,3,182,ARI_0018_sect3,L800
ARI_0018_LM,4,170,ARI_0018_sect1,L1800
ARI_0018_LM,5,170,ARI_0018_sect2,L1800
ARI_0018_LM,6,170,ARI_0018_sect3,L1800
ARI_0018_LM,7,182,ARI_0018_sect1,L2100
ARI_0018_LM,8,182,ARI_0018_sect2,L2100
ARI_0018_LM,9,182,ARI_0018_sect3,L2100
ARI_0018_LM,11,182,ARI_0018_sect4,L800
ARI_0018_LM,14,170,ARI_0018_sect4,L1800
